Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Std,Down/Up Ratio,Source IP,Destination Port,Label
3944391,5,14,64251.26,30.15,149099.47,151645.54,474.54,531.55,424.65,0.9206,192.168.10.19,443,BENIGN
11698749,22,8,55439.14,31.44,353321.1,200791.8,375.91,550.49,283.3,0.332,192.168.10.8,3389,BENIGN
5066310,16,10,39311.53,61.08,60649.96,119482.55,215.26,303.55,584.43,0.6331,192.168.10.14,80,BENIGN
22510373,32,1,324.5,1.16,1645770.54,547430.16,66.3,61.98,35.53,0.0666,172.16.0.1,80,DoS slowloris
887111,1113,3,1231012.8,636.64,166.77,401.02,511.74,285.88,184.25,0.0075,172.16.0.1,80,DoS Hulk
19410978,17,10,18061.95,18.52,303280.4,87514.29,474.35,831.83,362.32,1.1691,192.168.10.50,8080,BENIGN
11558177,206,2,9855.12,79.14,5957.79,7558.21,35.31,42.05,24.76,0.0576,172.16.0.1,21,FTP-Patator
28995560,23,1,356.95,0.83,1986255.76,834154.0,52.09,45.17,19.65,0.0387,172.16.0.1,443,DoS slowloris
8463369,15,26,16496.3,20.69,468757.04,136638.89,291.07,487.11,360.14,1.2253,192.168.10.9,22,BENIGN
12784967,274,9,7448.23,82.07,928.28,10689.03,47.64,42.01,29.54,0.032,172.16.0.1,21,FTP-Patator
143998,1,0,753.19,14.67,44836.57,18665.33,40.99,61.29,17.48,0.2057,172.16.0.1,8080,PortScan
8820337,12,13,36325.08,27.19,237378.92,119720.48,345.21,628.24,315.62,0.7691,192.168.10.50,8080,BENIGN
10430798,15,7,39763.21,14.52,205602.2,81792.9,259.63,486.24,170.15,0.7493,192.168.10.50,8080,BENIGN
23170189,30,1,259.89,1.46,1287558.26,305507.02,57.1,75.64,26.38,0.0896,172.16.0.1,80,DoS slowloris
144629,1,1,570.65,39.14,59312.72,19543.22,55.62,42.4,11.82,0.6952,172.16.0.1,39,PortScan
1884033,906,0,1323554.95,1631.05,802.79,637.6,834.02,269.92,131.95,0.0075,172.16.0.1,443,DoS Hulk
21241567,34,3,282.09,1.09,2607026.15,366547.44,50.27,68.74,47.14,0.0561,172.16.0.1,443,DoS slowloris
84413,1,0,609.58,13.54,49103.34,19701.98,28.32,18.74,16.2,0.6148,172.16.0.1,61,PortScan
5632763,1,19,15694.74,30.46,317672.15,63830.07,342.63,664.62,625.43,1.1597,192.168.10.8,21,BENIGN
10113597,17,16,5619.89,32.41,158800.57,139304.78,543.22,485.22,461.47,1.4707,192.168.10.19,3389,BENIGN
15651705,188,14,13371.99,51.37,86066.42,37393.79,105.47,228.84,69.72,0.0775,172.16.0.1,22,SSH-Patator
2703078,14,5,36993.48,33.52,436595.33,117565.67,294.63,792.6,502.68,0.6957,192.168.10.9,443,BENIGN
25587414,39,0,241.15,1.1,2856219.51,734917.39,47.34,106.02,21.74,0.0883,172.16.0.1,80,DoS slowloris
7764803,15,9,36086.64,26.95,3725.43,137799.79,633.74,632.44,236.06,0.7057,192.168.10.25,8080,BENIGN
9696514,14,7,35962.28,33.77,185013.55,119580.61,353.41,654.84,339.1,1.4013,192.168.10.3,21,BENIGN
13159041,166,16,9570.91,31.52,95285.49,26723.84,17.05,85.01,77.44,0.1244,172.16.0.1,22,SSH-Patator
6320636,112,16,9883.62,28.18,119487.23,18271.57,104.35,102.52,29.84,0.0815,172.16.0.1,22,SSH-Patator
9004144,14,7,39566.68,22.17,331976.22,94429.56,151.12,435.8,325.09,1.5876,192.168.10.9,53,BENIGN
26738424,30,2,122.24,2.11,1424290.02,709659.34,12.14,36.06,23.75,0.0872,172.16.0.1,443,DoS slowloris
80206,1,0,915.99,16.98,68093.83,19729.85,67.82,42.65,13.02,0.3823,172.16.0.1,41,PortScan
718691,1156,7,1582055.49,1352.65,908.29,201.13,639.39,287.3,249.78,0.0008,172.16.0.1,80,DoS Hulk
14049343,8,23,42432.07,42.92,235985.14,102032.76,400.21,391.0,344.0,0.6903,192.168.10.25,3389,BENIGN
10949932,14,17,37655.68,0,280207.58,76146.19,237.25,531.06,419.62,1.118,192.168.10.51,443,BENIGN
13576699,10,32,46647.63,13.91,443274.67,81825.21,125.55,678.24,541.48,1.1208,192.168.10.3,443,BENIGN
4248505,6,11,29881.49,30.31,139379.73,112357.07,145.12,427.46,330.03,0.8439,192.168.10.14,443,BENIGN
12698382,14,9,74595.66,11.05,15104.79,116343.74,249.47,468.1,477.02,0.9563,192.168.10.8,21,BENIGN
67800,1,0,938.05,31.27,36471.67,26930.37,62.2,32.86,13.86,0.1195,172.16.0.1,42,PortScan
3657795,6,15,39133.41,39.73,51103.21,87062.32,412.46,424.58,242.45,1.921,192.168.10.5,53,BENIGN
10601774,11,13,0,38.04,149120.41,159948.32,543.77,397.98,483.77,0.392,192.168.10.8,53,BENIGN
23378603,31,0,255.86,1.64,2023936.92,759042.89,98.6,77.94,25.31,0.0628,172.16.0.1,80,DoS slowloris
1781396,980,3,1087060.03,713.89,669.14,272.64,715.39,295.63,209.92,0,172.16.0.1,80,DoS Hulk
13289463,132,17,4920.67,34.16,110077.82,31312.83,91.51,128.98,58.86,0.17,172.16.0.1,22,SSH-Patator
11513933,7,15,16007.67,31.65,237236.91,80114.01,351.87,624.06,435.55,1.084,192.168.10.50,443,BENIGN
6728308,213,3,7657.83,18.17,33364.19,10547.11,42.88,36.67,12.92,0.0536,172.16.0.1,21,FTP-Patator
30523806,30,0,306.84,1.44,2940963.35,906242.89,81.69,66.28,27.03,0.0586,172.16.0.1,80,DoS slowloris
10053090,19,26,78224.27,43.34,199544.71,65107.92,202.58,646.28,396.77,1.0267,192.168.10.25,25,BENIGN
10500392,14,19,39991.4,22.87,326337.57,128369.46,495.01,451.71,530.35,1.7995,192.168.10.19,25,BENIGN
9498855,204,13,9754.22,65.69,11473.39,8498.09,46.27,49.29,20.85,0.02,172.16.0.1,21,FTP-Patator
1403578,1125,5,1217011.61,1029.98,1209.56,541.74,836.88,119.84,155.69,0.0039,172.16.0.1,443,DoS Hulk
7044318,16,9,64361.11,24.55,229883.67,81752.02,386.97,588.4,310.59,1.0157,192.168.10.16,443,BENIGN
7184989,14,10,48937.0,55.54,396275.79,162818.61,277.22,662.69,328.62,1.5115,192.168.10.5,53,BENIGN
14583602,160,8,9539.27,51.44,57530.54,20224.36,113.91,148.56,50.15,0.0467,172.16.0.1,22,SSH-Patator
7582869,15,16,75897.13,35.4,189070.73,116392.48,331.09,457.55,596.73,0.5815,192.168.10.51,53,BENIGN
15253633,190,10,13056.42,63.79,21592.4,9687.41,36.96,63.01,18.56,0.0575,172.16.0.1,21,FTP-Patator
10083274,26,1,48958.44,44.74,13053.49,125889.6,222.33,479.26,440.09,1.1378,192.168.10.15,443,BENIGN
1182343,1045,6,1361998.73,1016.78,613.04,344.71,903.53,253.44,167.03,0.0032,172.16.0.1,80,DoS Hulk
998686,1170,1,1669298.73,1622.42,1231.12,358.77,983.67,275.77,175.33,0.0082,172.16.0.1,443,DoS Hulk
7093316,23,9,58449.15,11.86,239642.6,92037.7,311.31,312.7,543.53,1.3984,192.168.10.15,22,BENIGN
15291863,20,26,42650.44,22.0,278744.93,101093.41,386.71,298.24,270.41,1.651,192.168.10.25,25,BENIGN
1498248,17,16,5580.49,20.25,425305.77,89334.04,250.4,294.56,452.56,0.9821,192.168.10.3,80,BENIGN
51254,3,0,695.2,15.7,44382.88,18977.18,32.44,44.42,11.58,0.6167,172.16.0.1,77,PortScan
3013230,5,2,0,23.5,216861.7,93467.13,370.83,839.56,494.76,1.2499,192.168.10.14,21,BENIGN
13179861,15,17,6860.01,63.15,120927.71,75867.04,414.7,524.71,454.45,1.6247,192.168.10.25,3389,BENIGN
9075365,24,11,15700.93,27.76,248763.66,60050.73,427.68,84.48,363.79,0.5038,192.168.10.16,8080,BENIGN
4488538,15,5,23652.62,29.09,277480.67,116046.5,235.83,343.98,476.85,1.72,192.168.10.50,22,BENIGN
13556523,5,14,34518.33,20.12,385871.83,110921.94,457.36,514.69,304.63,1.0561,192.168.10.16,22,BENIGN
30273727,41,0,343.53,0.97,4137133.61,406203.15,65.41,87.61,18.67,0.0333,172.16.0.1,80,DoS slowloris
1125650,934,3,908480.31,920.45,462.37,328.64,812.05,304.42,175.57,0.0031,172.16.0.1,80,DoS Hulk
11009747,207,12,10588.0,80.33,22998.43,9665.09,50.66,46.63,30.36,0.0864,172.16.0.1,21,FTP-Patator
32296956,15,2,384.57,2.3,2924002.29,813538.25,66.42,47.35,26.24,0.071,172.16.0.1,443,DoS slowloris
9432140,16,4,20558.65,23.17,80527.99,199270.67,360.9,634.27,353.83,0.5921,192.168.10.17,8080,BENIGN
660116,8,16,45148.25,21.48,191951.51,81243.49,310.92,556.79,270.05,1.4178,192.168.10.15,25,BENIGN
24394811,36,2,435.26,1.07,2874029.22,555538.59,57.43,59.33,19.78,0.0741,172.16.0.1,80,DoS slowloris
11964775,277,9,5154.38,64.14,13944.2,8771.14,38.91,45.67,31.29,0.0448,172.16.0.1,21,FTP-Patator
4472857,6,17,56550.2,29.49,283382.82,140017.64,237.84,636.25,417.57,1.5145,192.168.10.19,443,BENIGN
9647785,3,11,57095.36,19.99,247944.76,104108.96,489.73,426.78,355.49,0.7919,192.168.10.50,8080,BENIGN
3440937,28,12,26866.14,25.82,453062.59,101326.86,398.3,575.35,303.78,1.4715,192.168.10.16,25,BENIGN
2422771,23,10,39434.16,43.73,284998.82,116172.36,440.62,304.53,371.59,1.2961,192.168.10.16,21,BENIGN
54951,1,0,666.46,15.91,39909.81,20530.71,57.2,45.61,15.14,0.399,172.16.0.1,41,PortScan
26165676,9,1,317.87,1.29,2576246.96,700089.94,58.4,73.0,27.99,0.0701,172.16.0.1,443,DoS slowloris
10614710,158,24,14981.28,65.35,137957.72,43640.72,60.93,105.55,49.58,0.0369,172.16.0.1,22,SSH-Patator
7173622,15,10,23246.99,46.4,452566.0,121150.14,533.13,416.44,322.59,0.6792,192.168.10.5,8080,BENIGN
4075220,12,8,64381.05,42.92,257128.45,195282.24,376.84,445.94,393.23,1.3697,192.168.10.50,21,BENIGN
7451731,1,13,39492.68,33.22,311455.26,152777.6,355.74,288.1,420.85,0.6315,192.168.10.5,443,BENIGN
119198,1,3,340.0,14.08,36352.6,21895.23,48.28,48.32,18.58,0.5009,172.16.0.1,26,PortScan
6038589,188,8,8171.52,48.51,4209.13,8684.81,52.72,54.31,18.73,0.0317,172.16.0.1,21,FTP-Patator
10880120,14,0,72215.83,32.45,382442.8,178597.82,499.04,908.88,302.85,0.9635,192.168.10.25,53,BENIGN
8306016,10,29,26757.08,6.84,422135.55,121436.85,149.78,843.61,378.9,0.9125,192.168.10.25,80,BENIGN
3255824,4,11,48650.48,40.37,223426.15,68364.85,469.72,643.92,420.72,1.813,192.168.10.14,21,BENIGN
14111652,4,3,60011.52,27.59,281591.28,143368.88,360.02,507.57,349.39,0.9616,192.168.10.3,8080,BENIGN
8411005,22,14,43873.79,33.91,322553.98,137083.8,448.88,657.27,466.21,0.8966,192.168.10.16,21,BENIGN
3659926,14,3,11760.6,35.97,371629.71,98373.55,308.62,622.56,445.61,0.048,192.168.10.8,22,BENIGN
990541,1327,3,1698943.71,901.59,610.95,272.5,413.63,322.49,111.33,0.0078,172.16.0.1,443,DoS Hulk
12152780,28,4,33193.68,29.3,288152.37,156503.57,370.11,634.07,483.76,0.7563,192.168.10.51,80,BENIGN
776711,1223,5,1131905.6,1440.26,474.95,431.85,644.79,372.19,260.35,0.0058,172.16.0.1,80,DoS Hulk
11184556,28,18,25831.6,36.6,257923.27,115566.98,265.88,992.05,131.41,0.2888,192.168.10.15,3389,BENIGN
11648865,159,11,9722.08,95.19,29780.84,6142.23,54.77,37.28,22.24,0.0258,172.16.0.1,21,FTP-Patator
1,8,6,22923.73,34.25,294176.96,124257.87,395.56,558.75,649.31,0.9542,192.168.10.50,53,BENIGN
12296417,15,12,54937.51,36.18,207876.28,129824.67,501.93,433.22,496.72,1.3321,192.168.10.50,25,BENIGN
8482044,11,19,35230.9,37.3,66470.28,97461.01,486.62,905.5,424.52,1.5304,192.168.10.8,80,BENIGN
7976719,19,20,52690.02,28.51,190667.65,129319.65,307.73,727.87,324.08,0.9623,192.168.10.9,21,BENIGN
1478387,1108,5,1217553.53,1346.85,602.39,275.04,1045.35,260.58,188.71,0.0058,172.16.0.1,80,DoS Hulk
9418839,269,10,11633.05,78.75,16514.82,3979.3,39.69,32.95,18.35,0.0324,172.16.0.1,21,FTP-Patator
10333577,4,13,54542.84,1.54,351515.69,146894.74,391.57,396.54,389.64,0.9167,192.168.10.5,21,BENIGN
9855613,17,15,17962.96,28.3,234263.13,175956.36,495.64,633.39,308.17,1.3928,192.168.10.8,8080,BENIGN
26535436,31,2,338.04,1.49,2089198.14,788256.14,81.44,76.12,36.04,0.0069,172.16.0.1,80,DoS slowloris
10309573,13,16,0,29.8,241755.81,124091.36,459.81,663.76,265.17,0.9,192.168.10.25,8080,BENIGN
13396554,200,4,10098.96,34.58,24989.23,6994.29,38.36,47.5,4.48,0.0685,172.16.0.1,21,FTP-Patator
8527159,20,21,46312.01,34.21,405135.62,127451.31,245.24,418.19,380.13,0.7034,192.168.10.15,25,BENIGN
9270982,4,13,36466.32,41.56,499448.24,177593.55,294.39,567.17,295.95,1.5005,192.168.10.8,443,BENIGN
9511527,24,11,44030.61,19.06,297740.06,71560.5,357.47,389.43,356.76,1.1532,192.168.10.9,53,BENIGN
6453006,11,30,37811.93,12.11,377051.74,119700.12,283.93,443.48,177.03,0.8778,192.168.10.14,53,BENIGN
1190159,876,6,1668557.5,1513.73,563.55,265.47,909.4,329.0,115.24,0.0019,172.16.0.1,80,DoS Hulk
8605672,7,7,20474.11,4.57,439768.39,62387.42,394.23,427.95,473.29,0.5181,192.168.10.50,3389,BENIGN
10274779,12,15,29210.83,18.22,247584.48,63745.95,506.66,472.7,428.04,1.6389,192.168.10.17,53,BENIGN
8454637,16,22,19934.48,52.14,366184.89,160379.64,342.56,684.76,504.17,0.6926,192.168.10.9,80,BENIGN
12522613,2,19,34678.3,0,288173.75,199844.63,318.68,555.8,398.26,0.9265,192.168.10.3,21,BENIGN
1429810,853,3,1280475.91,1270.11,755.78,111.05,783.51,283.8,203.37,0.0045,172.16.0.1,443,DoS Hulk
5233935,3,15,53835.55,28.25,258414.43,117609.68,253.12,610.24,179.43,1.4984,192.168.10.14,8080,BENIGN
1,21,16,47504.61,35.69,176343.94,110747.73,340.79,430.47,403.67,0.4161,192.168.10.5,8080,BENIGN
3082604,17,2,14913.67,27.37,222570.5,102451.18,432.67,565.93,550.25,1.7213,192.168.10.19,3389,BENIGN
9572258,15,8,33994.32,9.29,288423.96,116612.9,371.57,769.95,392.68,1.3472,192.168.10.17,3389,BENIGN
1228815,913,0,1435759.39,750.45,536.04,284.04,796.17,339.76,257.46,0.0041,172.16.0.1,80,DoS Hulk
6638811,12,11,10793.37,36.38,520307.85,103082.29,479.89,480.65,361.14,0.3748,192.168.10.19,80,BENIGN
13126096,23,0,270.42,1.29,1975391.4,302598.28,40.43,89.93,38.47,0.0965,172.16.0.1,443,DoS slowloris
11722535,113,18,11022.54,53.87,128300.59,19406.09,76.68,136.89,48.84,0.1028,172.16.0.1,22,SSH-Patator
5799013,33,5,20505.69,27.99,511838.77,131129.51,486.68,421.45,419.53,0.6294,192.168.10.14,8080,BENIGN
9073170,6,18,59216.05,27.06,265220.07,72201.21,515.28,704.05,292.94,0.5971,192.168.10.16,80,BENIGN
12252294,8,11,12172.75,43.35,204602.18,131637.26,249.17,618.47,466.92,1.5545,192.168.10.14,80,BENIGN
27933018,7,4,274.0,0.78,2336382.39,758917.7,26.76,95.74,42.83,0,172.16.0.1,80,DoS slowloris
1582625,1133,2,972338.14,943.63,865.29,315.64,702.48,337.65,144.71,0.0071,172.16.0.1,443,DoS Hulk
1172304,848,1,795561.59,1168.53,1044.94,322.57,786.59,271.87,187.09,0.0031,172.16.0.1,443,DoS Hulk
1082370,720,1,1457135.27,736.86,371.48,565.93,825.83,244.19,185.28,0.003,172.16.0.1,80,DoS Hulk
18962229,86,10,9468.52,29.59,120411.27,32688.78,112.1,112.08,80.07,0.0659,172.16.0.1,22,SSH-Patator
1677638,728,3,951876.19,1470.45,1508.85,625.01,637.43,164.65,154.52,0.0054,172.16.0.1,443,DoS Hulk
45468,2,1,770.84,43.01,2760.44,24092.83,47.32,28.03,16.91,0.6879,172.16.0.1,74,PortScan
24928,1,0,705.2,16.17,56103.09,19389.92,65.17,63.83,15.07,0.5076,172.16.0.1,31,PortScan
8815486,16,14,59992.11,27.83,392254.57,124069.6,335.58,713.73,375.51,1.1264,192.168.10.8,8080,BENIGN
10423426,17,18,43438.82,48.18,241032.96,188259.57,388.95,408.64,426.66,1.2494,192.168.10.8,25,BENIGN
31603054,33,4,330.22,1.74,2571429.07,553989.29,39.62,60.55,31.0,0.1224,172.16.0.1,80,DoS slowloris
21747783,37,1,273.44,1.09,4368840.66,531190.36,41.96,90.02,33.66,0.0636,172.16.0.1,80,DoS slowloris
119566,1,0,182.86,22.86,45801.82,17241.87,51.19,49.32,16.89,0.3808,172.16.0.1,32,PortScan
9809581,246,7,9073.58,53.97,32265.5,7629.24,28.84,41.86,7.86,0.0609,172.16.0.1,21,FTP-Patator
13614686,22,20,25974.46,36.64,77887.97,50182.01,453.88,322.81,395.56,0.7412,192.168.10.9,80,BENIGN
7407516,19,12,44721.89,27.01,339768.85,121174.0,365.19,813.58,466.12,0.5678,192.168.10.16,21,BENIGN
1202851,740,3,1113986.46,1068.36,0,279.7,934.62,132.09,271.07,0.0071,172.16.0.1,80,DoS Hulk
6170733,4,20,44326.13,24.88,389361.09,127928.12,450.34,658.4,332.08,0.9562,192.168.10.25,8080,BENIGN
73490,1,0,632.66,34.04,50401.84,20736.06,41.47,55.36,13.29,0.5412,172.16.0.1,21,PortScan
17154082,178,11,15581.11,36.49,119943.66,33586.5,97.97,135.21,74.57,0.0946,172.16.0.1,22,SSH-Patator
17228573,170,11,9668.71,38.46,88312.59,32310.26,43.58,87.45,74.94,0.0552,172.16.0.1,22,SSH-Patator
4933973,25,6,52868.05,0,391715.14,134187.24,476.81,458.17,468.62,1.1275,192.168.10.17,21,BENIGN
11219863,9,19,19006.03,13.13,304496.57,132018.94,433.94,428.36,283.3,1.9943,192.168.10.25,443,BENIGN
31059822,44,1,68.83,1.13,2175292.7,702752.02,65.27,96.32,25.6,0.0724,172.16.0.1,80,DoS slowloris
16830270,177,12,11787.66,59.77,61093.22,6808.85,87.17,38.42,40.49,0.0849,172.16.0.1,22,SSH-Patator
1512969,877,5,1453152.62,1249.27,796.06,480.25,564.21,202.85,88.27,0.0042,172.16.0.1,443,DoS Hulk
7929456,8,10,26264.21,29.44,349564.28,83220.89,351.68,351.05,375.77,1.8508,192.168.10.5,3389,BENIGN
48746,1,0,597.59,19.26,33007.5,13182.47,35.4,49.53,4.91,0.5997,172.16.0.1,24,PortScan
15688320,344,13,14359.08,90.13,10166.69,8342.83,46.65,15.4,24.09,0.0477,172.16.0.1,21,FTP-Patator
16366060,17,12,4566.57,39.64,151487.09,125199.03,375.48,603.15,361.91,1.6038,192.168.10.50,25,BENIGN
1732848,973,7,630605.93,748.18,1105.99,441.21,605.09,269.05,137.19,0.005,172.16.0.1,443,DoS Hulk
1945911,926,1,1452549.5,1470.82,940.3,567.18,1041.03,183.75,29.28,0.0012,172.16.0.1,80,DoS Hulk
12166834,23,22,38705.23,48.66,158278.99,48698.23,427.21,727.43,348.27,1.7437,192.168.10.3,22,BENIGN
1273833,717,4,1310167.22,1060.56,822.59,340.46,702.02,216.56,176.2,0.0095,172.16.0.1,443,DoS Hulk
1384564,1066,2,1484355.82,1135.36,952.99,282.5,1002.49,282.53,224.88,0.0023,172.16.0.1,80,DoS Hulk
2364586,11,18,66310.51,40.79,671931.05,146212.41,556.19,797.4,443.37,1.357,192.168.10.16,8080,BENIGN
1291764,1168,5,971230.84,1339.35,754.88,347.1,887.21,298.26,224.35,0.0029,172.16.0.1,80,DoS Hulk
4326189,9,8,45068.09,44.91,286852.94,99271.96,355.81,702.77,385.8,1.2618,192.168.10.16,443,BENIGN
5152909,9,5,19389.96,33.48,410055.77,84336.47,200.04,658.39,373.16,0.6288,192.168.10.3,25,BENIGN
13159898,26,6,56477.37,26.88,359424.11,151682.67,475.09,670.44,445.33,2.0488,192.168.10.16,80,BENIGN
4807011,17,21,37903.49,42.18,510134.1,139606.25,384.41,722.92,357.98,1.253,192.168.10.5,80,BENIGN
1,11,7,15826.33,31.89,211426.39,160904.33,157.24,357.81,428.26,1.3107,192.168.10.51,22,BENIGN
9678128,108,16,11644.36,44.33,124109.34,38786.82,89.85,168.45,52.5,0.0646,172.16.0.1,22,SSH-Patator
7562534,15,21,21243.75,44.37,182049.94,124860.53,680.69,383.16,347.93,0.9992,192.168.10.19,3389,BENIGN
19416078,21,21,7497.75,32.19,233643.78,138183.25,315.57,466.93,185.79,1.1433,192.168.10.16,3389,BENIGN
3511519,13,7,29508.27,32.41,214360.09,191989.59,139.12,836.01,216.83,1.0663,192.168.10.50,21,BENIGN
2850896,13,23,21512.8,21.65,243236.09,85507.53,265.1,589.66,351.54,1.0573,192.168.10.25,443,BENIGN
6074594,21,10,28793.72,3.52,200530.19,107622.92,265.12,567.99,559.65,1.4277,192.168.10.8,21,BENIGN
14897757,80,14,17757.84,49.16,100242.86,40735.73,78.27,117.83,58.7,0.1276,172.16.0.1,22,SSH-Patator
117637,2,1,475.62,22.99,44659.05,12870.85,36.49,33.08,6.8,0.7748,172.16.0.1,24,PortScan
26824526,11,2,419.1,0.56,2544206.57,744010.97,61.06,69.67,26.14,0.0135,172.16.0.1,443,DoS slowloris
6546201,1,17,21522.07,44.12,325556.37,36390.69,460.36,892.99,409.7,1.1613,192.168.10.25,80,BENIGN
5744962,10,11,24308.19,22.06,301964.67,66899.5,411.27,582.38,435.26,0.8751,192.168.10.14,3389,BENIGN
7530381,10,10,10062.41,35.18,380626.09,92296.6,171.67,603.76,439.33,1.1082,192.168.10.15,25,BENIGN
1478488,901,5,1147889.45,950.56,996.75,647.31,889.18,250.01,174.14,0.0039,172.16.0.1,80,DoS Hulk
22967270,35,1,460.48,1.63,1902089.7,595785.98,67.7,83.95,18.98,0.0501,172.16.0.1,443,DoS slowloris
629919,735,6,1251636.86,1392.08,1013.13,345.78,622.48,213.34,115.21,0.0019,172.16.0.1,443,DoS Hulk
10956784,138,3,5704.96,64.97,12013.22,7592.49,10.08,53.55,9.82,0.013,172.16.0.1,21,FTP-Patator
756543,916,8,1460932.77,940.33,1288.89,246.35,339.39,262.66,202.81,0.0009,172.16.0.1,80,DoS Hulk
14857137,122,16,15887.72,26.76,132586.06,13826.5,77.35,113.7,45.35,0.0306,172.16.0.1,22,SSH-Patator
10594471,246,10,4349.44,45.95,16258.17,11254.25,42.78,23.62,20.61,0.035,172.16.0.1,21,FTP-Patator
9293121,12,19,47703.52,33.38,278819.53,97627.82,475.76,688.91,558.91,1.0123,192.168.10.8,8080,BENIGN
922466,1023,3,1701151.28,1162.89,1356.01,417.24,673.46,128.38,232.11,0.0071,172.16.0.1,80,DoS Hulk
117906,1,0,336.18,2.98,45344.69,7130.6,59.71,68.36,13.4,0.6304,172.16.0.1,31,PortScan
1739456,7,12,26351.44,25.57,278835.46,127515.06,355.7,421.31,487.58,1.0937,192.168.10.19,443,BENIGN
39855,2,0,152.75,24.94,80984.45,12841.04,39.91,37.96,10.08,0.7453,172.16.0.1,77,PortScan
6113577,26,6,19755.81,16.35,110435.93,112446.98,341.45,679.22,194.57,0.9217,192.168.10.51,3389,BENIGN
157423,2,1,1015.19,41.49,8681.82,27120.5,64.41,72.13,12.98,0.8032,172.16.0.1,63,PortScan
8143155,14,0,30076.52,26.1,248309.11,167629.91,473.83,337.98,406.49,1.15,192.168.10.9,443,BENIGN
1418417,826,6,1200107.14,1191.22,1322.61,246.15,758.49,339.61,170.03,0.0017,172.16.0.1,80,DoS Hulk
1859679,1164,4,1789991.71,865.86,1334.2,412.92,609.24,327.32,204.75,0.0041,172.16.0.1,443,DoS Hulk
8005247,2,17,54221.48,25.91,323604.51,94651.43,237.75,656.53,442.23,1.355,192.168.10.14,25,BENIGN
10593017,10,18,8009.06,46.72,341031.52,151194.03,319.59,776.07,427.86,1.6811,192.168.10.5,443,BENIGN
7648155,10,6,14728.27,19.82,290955.92,156066.11,563.12,587.64,415.13,0.8877,192.168.10.15,80,BENIGN
4676764,14,5,36902.93,19.36,248945.65,108472.44,478.18,467.05,217.11,1.4598,192.168.10.19,53,BENIGN
8544248,14,23,40131.29,36.85,202592.09,125055.61,326.41,529.24,607.19,1.5767,192.168.10.25,21,BENIGN
6052449,11,17,23025.75,27.62,229973.62,135214.17,626.86,434.49,554.94,0.835,192.168.10.50,3389,BENIGN
